PuzzleId,FEN,Moves,Rating,Themes
sIpAg,r1bq2k1/ppp2r1p/2n3pB/3Q4/8/P2B2KP/1PP3P1/RN2R3 b - - 0 17,d8d5 e1e8 f7f8 e8f8,600,kingsideAttack mate mateIn2 middlegame operaMate short
iC3Ns,5k2/pR3prp/1bp5/4R3/8/2P3PK/P4r1P/8 b - - 0 29,f2a2 b7b8 b6d8 b8d8,793,endgame mate mateIn2 short
cG2Fz,8/2R3kp/b5p1/4p3/5pPP/1r1p1P2/3K4/8 b - - 5 46,g7h6 g4g5 h6h5 c7h7,838,deflection endgame mate mateIn2 short
8YFp0,r5k1/5pp1/7p/pp3q2/1P6/PQ6/1Pr2PPP/3RR1K1 w - - 3 27,b4a5 f5f2 g1h1 f2g2,862,endgame mate mateIn2 short
VdU8K,2k5/ppp5/7r/3Np2p/4P1rP/8/PPP2K2/3R4 b - - 1 28,g4e4 d5e7 c8b8 d1d8,874,backRankMate endgame mate mateIn2 short
UMwZn,5k2/p7/1pp2P2/4PK1R/3r4/8/PPn5/8 b - - 1 43,d4d1 h5h8 f8f7 e5e6,884,endgame mate mateIn2 short
tK1El,3rk1b1/1p2P1bp/6p1/p7/1Bn3P1/5R2/P4P1P/4RK2 b - - 0 32,d8d7 f3f8 g7f8 e7f8q,893,advancedPawn discoveredCheck doubleCheck mate mateIn2 middlegame promotion short
Wt1U4,2r1k2r/pp1nb3/5p2/3p4/3N3P/1P1Q4/P2NK3/2q1R2R b k - 3 25,c1c7 d3g6 e8d8 d4e6,902,mate mateIn2 middlegame short
QvrBs,r2qkbnr/pp1n1pp1/2p3Np/4p3/3P3P/3Q2N1/PPP2PP1/R1B1K2R b KQkq - 1 11,f7g6 d3g6 e8e7 g3f5,910,cornerMate mate mateIn2 opening short
vHWrJ,5r1k/6p1/p2QR2p/1p6/5p2/7P/P5PK/q7 b - - 1 39,f8g8 e6h6 g7h6 d6h6,917,endgame mate mateIn2 sacrifice short
FJwcG,5r2/1p4k1/p2P4/2p5/2Bn4/3P3Q/PP4PP/6K1 w - - 3 28,c4e6 d4e2 g1h1 f8f1,924,backRankMate endgame mate mateIn2 short
JnBBJ,r7/4Npk1/p2p2pB/P1pP3p/5Q1P/1pq5/2P1b1P1/1K6 b - - 1 35,g7h7 f4f7 h7h6 f7g6,930,endgame mate mateIn2 short
lXzco,2kr3r/ppp2pb1/5n1p/3P2p1/1qnQ4/2N3B1/PPP1NPPP/2KRR3 w - - 3 16,b2b3 b4a3 c1b1 a3b2,935,mate mateIn2 middlegame queensideAttack short
sVrEh,r1b2r1k/ppn4p/2p1p3/2PpPp1q/P2P2n1/BPNBP3/4Q1P1/R4RK1 w - - 0 21,f1f3 h5h2 g1f1 h2h1,940,kingsideAttack mate mateIn2 middlegame short
TEzI3,1r3rk1/p6p/4p1p1/2p1B3/2p1P1Q1/q1P5/P5PP/1K1R3R w - - 2 23,e5b8 f8b8 b1a1 a3c3,945,endgame mate mateIn2 queensideAttack short
R2Hca,5rk1/pR3pp1/4p2p/8/q2r4/7P/5QP1/1R4K1 b - - 0 30,f8d8 f2f7 g8h8 f7g7,949,endgame mate mateIn2 short
PrjWF,3r4/5pp1/1Rp1p3/k1P5/3r4/3P3P/4K3/7R b - - 1 32,d4d3 h1a1 d3a3 a1a3,953,endgame mate mateIn2 rookEndgame short
x4A6v,7r/3k1p2/p1npp2b/1p1p1B1r/3P2n1/2P1P1B1/PP1N2P1/R4RK1 w - - 0 22,f5g4 h6e3 g3f2 h5h1,956,fork mate mateIn2 middlegame short
1mhnO,5nk1/5ppp/8/p2pNQ2/4n3/4P1PP/q4PK1/1q6 b - - 3 35,g7g6 f5f7 g8h8 f7f8,960,deflection endgame mate mateIn2 short
7ZJpV,2r1qr1k/pR3Rpp/1bN5/3pPQ2/8/8/P5PP/7K b - - 0 29,c8c6 f7f8 e8f8 f5f8,963,fork mate mateIn2 middlegame short
0Dao0,r6k/pp1nq1pp/2p2p2/8/2B1P2R/2P5/PP4PP/3Q2K1 b - - 2 20,d7e5 h4h7 h8h7 d1h5,966,attraction endgame kingsideAttack mate mateIn2 sacrifice short
qwxFS,2kr3r/ppp2ppp/8/4p3/4b3/1P3RP1/1P4BP/R1B4K w - - 2 23,f3f2 d8d1 f2f1 d1f1,968,kingsideAttack mate mateIn2 middlegame pin short
DWXlJ,8/7p/6pk/2NPP3/1PR2K2/r5P1/4n1P1/8 w - - 5 46,f4g4 a3g3 g4h4 g6g5,971,endgame mate mateIn2 short
dxbhn,1nkr3r/ppp5/4bR2/1P6/3q1B2/P2B2Pp/7K/R2Q4 w - - 0 22,f6e6 d4f2 h2h1 f2g2,973,mate mateIn2 middlegame short
rQSTu,rnb1k1nr/5p2/pPpp4/4p2p/1P2P3/1BPP1Pp1/3N2P1/RN1QRK1q w kq - 5 20,f1e2 h1g2 e2e3 g2f2,975,mate mateIn2 middlegame short
sm7EE,r2qkbnr/2pb3p/p2p1pN1/1p3P1Q/4P3/1nN5/PPPP2PP/R1B1K2R b KQkq - 0 11,h7g6 h5g6 e8e7 c3d5,977,mate mateIn2 middlegame short
9LgKl,2R3kr/3n1p2/4pP2/qp1p2PQ/8/8/6BP/7K b - - 0 30,d7f8 c8f8 g8f8 h5h8,980,attraction deflection endgame mate mateIn2 short
Ipz59,5r1k/R6p/1p1p1Q2/3B2p1/1qP2P2/6Pb/5K1P/4R3 b - - 0 30,f8f6 e1e8 f6f8 e8f8,982,endgame mate mateIn2 short
fUrHx,r3r1k1/1p1nq1p1/2p1p3/3p1p1Q/3P1P2/pPB5/P1P5/2K3RR b - - 1 26,d7f6 h5h8 g8f7 h8g7,984,kingsideAttack mate mateIn2 middlegame short
